asset_id;read_at;power
601;2024-08-11 01:00:00;3546.67
601;2024-08-11 02:00:00;2657
601;2024-08-11 03:00:00;1529
601;2024-08-11 04:00:00;725.87
601;2024-08-11 05:00:00;341.54
601;2024-08-11 06:00:00;15.9
601;2024-08-11 07:00:00;1791.56
601;2024-08-11 08:00:00;2900.51
601;2024-08-11 09:00:00;1885.2
601;2024-08-11 10:00:00;1180.48
601;2024-08-11 11:00:00;446.87
601;2024-08-11 12:00:00;632.51
601;2024-08-11 13:00:00;1752.45
601;2024-08-11 14:00:00;1395.12
601;2024-08-11 15:00:00;2119.4
601;2024-08-11 16:00:00;3705.56
601;2024-08-11 17:00:00;2222.89
601;2024-08-11 18:00:00;2232.14
601;2024-08-11 19:00:00;1556.35
601;2024-08-11 20:00:00;1405
601;2024-08-11 21:00:00;2038.33
601;2024-08-11 22:00:00;4859.67
601;2024-08-11 23:00:00;4100.5
601;2024-08-12 00:00:00;3522
601;2024-08-12 01:00:00;2247.67
601;2024-08-12 02:00:00;1331.5
601;2024-08-12 03:00:00;643.83
601;2024-08-12 04:00:00;387.63
601;2024-08-12 05:00:00;11.67
601;2024-08-12 06:00:00;174.41
601;2024-08-12 07:00:00;1328.67
601;2024-08-12 08:00:00;1244.98
601;2024-08-12 09:00:00;122.64
601;2024-08-12 10:00:00;572.64
601;2024-08-12 11:00:00;1316.79
601;2024-08-12 12:00:00;465.1
601;2024-08-12 13:00:00;1068.48
601;2024-08-12 14:00:00;1960.19
601;2024-08-12 15:00:00;2124.41
601;2024-08-12 16:00:00;2625.45
601;2024-08-12 17:00:00;5322.15
601;2024-08-12 18:00:00;4031.32
601;2024-08-12 19:00:00;5130.15
601;2024-08-12 20:00:00;10762
601;2024-08-12 21:00:00;9175.83
601;2024-08-12 22:00:00;6970.83
601;2024-08-12 23:00:00;9339.17
601;2024-08-13 00:00:00;9578.5
601;2024-08-13 01:00:00;7902.17
601;2024-08-13 02:00:00;11455
601;2024-08-13 03:00:00;14154.3
601;2024-08-13 04:00:00;10143
601;2024-08-13 05:00:00;12696.4
601;2024-08-13 06:00:00;8968.47
601;2024-08-13 07:00:00;4056.53
601;2024-08-13 08:00:00;5894.5
601;2024-08-13 09:00:00;9172.26
601;2024-08-13 10:00:00;5249.98
601;2024-08-13 11:00:00;5378.64
601;2024-08-13 12:00:00;2229.15
601;2024-08-13 13:00:00;1028.21
601;2024-08-13 14:00:00;3247.8
601;2024-08-13 15:00:00;3405.86
601;2024-08-13 16:00:00;2871.09
601;2024-08-13 17:00:00;4270.85
601;2024-08-13 18:00:00;4116.69
601;2024-08-13 19:00:00;5673.27
601;2024-08-13 20:00:00;3085.33
601;2024-08-13 21:00:00;2790.5
601;2024-08-13 22:00:00;7550.17
